query	db_1	db_2	db_3	db_4	db_5	db_6	db_7	db_8	db_9	db_10
uav/001.jpg	tif/259_1906_2206.tif	tif/258_1756_2206.tif	tif/239_1756_2056.tif	tif/278_1906_2356.tif	tif_suburbs1/11_1756_256.tif	tif_suburbs1/9_1456_256.tif	tif/277_1756_2356.tif	tif/275_1456_2356.tif	tif/240_1906_2056.tif	tif_suburbs1/39_1456_406.tif
uav/002.jpg	tif/259_1906_2206.tif	tif/258_1756_2206.tif	tif/239_1756_2056.tif	tif/277_1756_2356.tif	tif/275_1456_2356.tif	tif_suburbs1/11_1756_256.tif	tif/278_1906_2356.tif	tif/257_1606_2206.tif	tif_suburbs1/45_2356_406.tif	tif_suburbs1/10_1606_256.tif
uav/003.jpg	tif/259_1906_2206.tif	tif/258_1756_2206.tif	tif/275_1456_2356.tif	tif_suburbs1/9_1456_256.tif	tif_suburbs1/11_1756_256.tif	tif/239_1756_2056.tif	tif/277_1756_2356.tif	tif_suburbs1/12_1906_256.tif	tif/278_1906_2356.tif	tif_suburbs1/131_1756_856.tif
uav/004.jpg	tif/259_1906_2206.tif	tif/275_1456_2356.tif	tif/278_1906_2356.tif	tif_suburbs1/9_1456_256.tif	tif/258_1756_2206.tif	tif/276_1606_2356.tif	tif/277_1756_2356.tif	tif_suburbs1/131_1756_856.tif	tif/296_1756_2506.tif	tif/239_1756_2056.tif
uav/005.jpg	tif/259_1906_2206.tif	tif/258_1756_2206.tif	tif_suburbs1/9_1456_256.tif	tif/275_1456_2356.tif	tif_suburbs1/45_2356_406.tif	tif/239_1756_2056.tif	tif_suburbs1/99_1456_706.tif	tif_suburbs1/100_1606_706.tif	tif_suburbs1/15_2356_256.tif	tif/278_1906_2356.tif
uav/006.jpg	tif/259_1906_2206.tif	tif/258_1756_2206.tif	tif/275_1456_2356.tif	tif_suburbs1/9_1456_256.tif	tif/257_1606_2206.tif	tif_suburbs1/10_1606_256.tif	tif/256_1456_2206.tif	tif/239_1756_2056.tif	tif_suburbs1/100_1606_706.tif	tif/276_1606_2356.tif
uav/007.jpg	tif/258_1756_2206.tif	tif/259_1906_2206.tif	tif_suburbs1/9_1456_256.tif	tif_suburbs1/12_1906_256.tif	tif/275_1456_2356.tif	tif/257_1606_2206.tif	tif/239_1756_2056.tif	tif/238_1606_2056.tif	tif/256_1456_2206.tif	tif_suburbs1/11_1756_256.tif
uav/008.jpg	tif/258_1756_2206.tif	tif_suburbs1/9_1456_256.tif	tif/239_1756_2056.tif	tif/259_1906_2206.tif	tif_suburbs1/11_1756_256.tif	tif_suburbs1/12_1906_256.tif	tif_suburbs1/133_2056_856.tif	tif_suburbs1/15_2356_256.tif	tif_suburbs1/102_1906_706.tif	tif_suburbs1/134_2206_856.tif
uav/009.jpg	tif_suburbs1/9_1456_256.tif	tif/275_1456_2356.tif	tif/294_1456_2506.tif	tif_suburbs1/11_1756_256.tif	tif_suburbs1/102_1906_706.tif	tif/256_1456_2206.tif	tif_suburbs1/45_2356_406.tif	tif_suburbs1/41_1756_406.tif	tif_suburbs1/12_1906_256.tif	tif/258_1756_2206.tif
uav/010.jpg	tif/258_1756_2206.tif	tif/259_1906_2206.tif	tif/257_1606_2206.tif	tif_suburbs1/9_1456_256.tif	tif/275_1456_2356.tif	tif/276_1606_2356.tif	tif/277_1756_2356.tif	tif/239_1756_2056.tif	tif/256_1456_2206.tif	tif/278_1906_2356.tif
